frequency_hz,quantity,id,re,im
1.00000000E+02,voltage,Node_A,5.14581659E+00,-2.39464470E-02
1.00000000E+02,voltage,Node_B,5.14558950E+00,-2.82969883E-02
1.00000000E+02,voltage,Node_C,5.14550566E+00,-3.01298443E-02
1.00000000E+02,voltage,Node_D,5.14558950E+00,-2.82969883E-02
1.00000000E+02,i1,Line_4_e1,-2.49993497E-01,1.24878053E-04
1.00000000E+02,i2,Line_4_e1,5.00000000E-01,8.59208607E-18
1.00000000E+02,i1,Line_3_e1,-5.16230603E-16,-8.41431135E-18
1.00000000E+02,i2,Line_3_e1,2.49993497E-01,-1.24878053E-04
1.00000000E+02,i1,Line_2_e1,2.49993497E-01,-1.24878053E-04
1.00000000E+02,i2,Line_2_e1,2.77466879E-17,8.38542167E-18
1.00000000E+02,i1,Line_1_e1,5.00000000E-01,-8.51078160E-18
1.00000000E+02,i2,Line_1_e1,-2.49993497E-01,1.24878053E-04
1.00000000E+03,voltage,Node_A,5.08573398E+00,-4.83437152E-02
1.00000000E+03,voltage,Node_B,5.08497030E+00,-9.11044512E-02
1.00000000E+03,voltage,Node_C,5.08443558E+00,-1.09015179E-01
1.00000000E+03,voltage,Node_D,5.08497030E+00,-9.11044512E-02
1.00000000E+03,i1,Line_4_e1,-2.49967442E-01,1.22041046E-03
1.00000000E+03,i2,Line_4_e1,5.00000000E-01,1.30089330E-18
1.00000000E+03,i1,Line_3_e1,1.18406955E-16,-5.92774529E-19
1.00000000E+03,i2,Line_3_e1,2.49967442E-01,-1.22041046E-03
1.00000000E+03,i1,Line_2_e1,2.49967442E-01,-1.22041046E-03
1.00000000E+03,i2,Line_2_e1,-1.11126683E-16,3.77639509E-18
1.00000000E+03,i1,Line_1_e1,5.00000000E-01,-1.30093372E-18
1.00000000E+03,i2,Line_1_e1,-2.49967442E-01,1.22041046E-03
1.00000000E+04,voltage,Node_A,4.90860187E+00,1.14334682E-01
1.00000000E+04,voltage,Node_B,4.89570295E+00,-3.06098707E-01
1.00000000E+04,voltage,Node_C,4.88043450E+00,-4.77215391E-01
1.00000000E+04,voltage,Node_D,4.89570295E+00,-3.06098707E-01
1.00000000E+04,i1,Line_4_e1,-2.49284541E-01,1.17474161E-02
1.00000000E+04,i2,Line_4_e1,5.00000000E-01,-4.62207675E-18
1.00000000E+04,i1,Line_3_e1,-1.16234602E-16,1.23315462E-18
1.00000000E+04,i2,Line_3_e1,2.49284541E-01,-1.17474161E-02
1.00000000E+04,i1,Line_2_e1,2.49284541E-01,-1.17474161E-02
1.00000000E+04,i2,Line_2_e1,-1.38578277E-16,1.51850138E-18
1.00000000E+04,i1,Line_1_e1,5.00000000E-01,1.73769704E-18
1.00000000E+04,i2,Line_1_e1,-2.49284541E-01,1.17474161E-02
1.00000000E+05,voltage,Node_A,5.02291213E+00,2.70870673E+00
1.00000000E+05,voltage,Node_B,4.35044311E+00,-1.20595918E+00
1.00000000E+05,voltage,Node_C,3.62916795E+00,-2.55431905E+00
1.00000000E+05,voltage,Node_D,4.35044311E+00,-1.20595918E+00
1.00000000E+05,i1,Line_4_e1,-2.21679021E-01,1.00905494E-01
1.00000000E+05,i2,Line_4_e1,5.00000000E-01,3.58170120E-17
1.00000000E+05,i1,Line_3_e1,-8.55471568E-18,-3.53040696E-17
1.00000000E+05,i2,Line_3_e1,2.21679021E-01,-1.00905494E-01
1.00000000E+05,i1,Line_2_e1,2.21679021E-01,-1.00905494E-01
1.00000000E+05,i2,Line_2_e1,1.35570670E-17,-1.85239008E-17
1.00000000E+05,i1,Line_1_e1,5.00000000E-01,-4.17487187E-17
1.00000000E+05,i2,Line_1_e1,-2.21679021E-01,1.00905494E-01
