frequency_hz,quantity,id,re,im
1.00000000E+01,voltage,Node_1,1.43071422E+01,-9.56815808E-03
1.00000000E+01,voltage,Node_2,1.43065967E+01,-1.01525784E-02
1.00000000E+01,voltage,Line_1_n1,1.43070397E+01,-9.65416675E-03
1.00000000E+01,voltage,Line_1_n2,1.43069493E+01,-9.74173743E-03
1.00000000E+01,voltage,Line_1_n3,1.43068695E+01,-9.82386223E-03
1.00000000E+01,voltage,Line_1_n4,1.43067999E+01,-9.89853873E-03
1.00000000E+01,voltage,Line_1_n5,1.43067403E+01,-9.96474674E-03
1.00000000E+01,voltage,Line_1_n6,1.43066908E+01,-1.00218675E-02
1.00000000E+01,voltage,Line_1_n7,1.43066513E+01,-1.00694841E-02
1.00000000E+01,voltage,Line_1_n8,1.43066220E+01,-1.01072943E-02
1.00000000E+01,voltage,Line_1_n9,1.43066033E+01,-1.01350641E-02
1.00000000E+01,i1,Line_1_e1,1.00000000E+00,-3.25785065E-20
1.00000000E+01,i2,Line_1_e1,-8.78755585E-01,-3.86195164E-07
1.00000000E+01,i1,Line_1_e2,8.78755585E-01,3.86195164E-07
1.00000000E+01,i2,Line_1_e2,-7.79305538E-01,2.87930544E-06
1.00000000E+01,i1,Line_1_e3,7.79305538E-01,-2.87930544E-06
1.00000000E+01,i2,Line_1_e3,-6.84359299E-01,4.87562202E-06
1.00000000E+01,i1,Line_1_e4,6.84359299E-01,-4.87562202E-06
1.00000000E+01,i2,Line_1_e4,-5.91701983E-01,6.23432596E-06
1.00000000E+01,i1,Line_1_e5,5.91701983E-01,-6.23432596E-06
1.00000000E+01,i2,Line_1_e5,-4.99993652E-01,7.01510251E-06
1.00000000E+01,i1,Line_1_e6,4.99993652E-01,-7.01510251E-06
1.00000000E+01,i2,Line_1_e6,-4.08285758E-01,7.29757216E-06
1.00000000E+01,i1,Line_1_e7,4.08285758E-01,-7.29757216E-06
1.00000000E+01,i2,Line_1_e7,-3.15629770E-01,7.14947053E-06
1.00000000E+01,i1,Line_1_e8,3.15629770E-01,-7.14947053E-06
1.00000000E+01,i2,Line_1_e8,-2.20685802E-01,6.58528561E-06
1.00000000E+01,i1,Line_1_e9,2.20685802E-01,-6.58528561E-06
1.00000000E+01,i2,Line_1_e9,-1.21239089E-01,6.13767615E-06
1.00000000E+01,i1,Line_1_e10,1.21239089E-01,-6.13767615E-06
1.00000000E+01,i2,Line_1_e10,0.00000000E+00,0.00000000E+00
1.00000000E+02,voltage,Node_1,1.42856667E+01,-2.77243672E-02
1.00000000E+02,voltage,Node_2,1.42850940E+01,-3.35579570E-02
1.00000000E+02,voltage,Line_1_n1,1.42855603E+01,-2.85832511E-02
1.00000000E+02,voltage,Line_1_n2,1.42854663E+01,-2.94577654E-02
1.00000000E+02,voltage,Line_1_n3,1.42853830E+01,-3.02778552E-02
1.00000000E+02,voltage,Line_1_n4,1.42853103E+01,-3.10234981E-02
1.00000000E+02,voltage,Line_1_n5,1.42852478E+01,-3.16844926E-02
1.00000000E+02,voltage,Line_1_n6,1.42851957E+01,-3.22546512E-02
1.00000000E+02,voltage,Line_1_n7,1.42851539E+01,-3.27298068E-02
1.00000000E+02,voltage,Line_1_n8,1.42851225E+01,-3.31069363E-02
1.00000000E+02,voltage,Line_1_n9,1.42851021E+01,-3.33837014E-02
1.00000000E+02,i1,Line_1_e1,1.00000000E+00,1.08580262E-19
1.00000000E+02,i2,Line_1_e1,-8.78763612E-01,2.19459281E-05
1.00000000E+02,i1,Line_1_e2,8.78763612E-01,-2.19459281E-05
1.00000000E+02,i2,Line_1_e2,-7.79310709E-01,4.58083814E-05
1.00000000E+02,i1,Line_1_e3,7.79310709E-01,-4.58083814E-05
1.00000000E+02,i2,Line_1_e3,-6.84362660E-01,6.01974557E-05
1.00000000E+02,i1,Line_1_e4,6.84362660E-01,-6.01974557E-05
1.00000000E+02,i2,Line_1_e4,-5.91703489E-01,6.79874965E-05
1.00000000E+02,i1,Line_1_e5,5.91703489E-01,-6.79874965E-05
1.00000000E+02,i2,Line_1_e5,-4.99993332E-01,7.00252966E-05
1.00000000E+02,i1,Line_1_e6,4.99993332E-01,-7.00252966E-05
1.00000000E+02,i2,Line_1_e6,-4.08283634E-01,6.70885759E-05
1.00000000E+02,i1,Line_1_e7,4.08283634E-01,-6.70885759E-05
1.00000000E+02,i2,Line_1_e7,-3.15625857E-01,5.98364923E-05
1.00000000E+02,i1,Line_1_e8,3.15625857E-01,-5.98364923E-05
1.00000000E+02,i2,Line_1_e8,-2.20680193E-01,4.86649630E-05
1.00000000E+02,i1,Line_1_e9,2.20680193E-01,-4.86649630E-05
1.00000000E+02,i2,Line_1_e9,-1.21230790E-01,3.54611359E-05
1.00000000E+02,i1,Line_1_e10,1.21230790E-01,-3.54611359E-05
1.00000000E+02,i2,Line_1_e10,0.00000000E+00,0.00000000E+00
