frequency_hz,quantity,id,re,im
1.00000000E+01,voltage,Node_1,3.08173006E+01,-9.82484349E-03
1.00000000E+01,voltage,Node_2,3.08172192E+01,-9.92412931E-03
1.00000000E+01,voltage,Rod_1_n1,3.08172763E+01,-9.84962170E-03
1.00000000E+01,voltage,Rod_1_n2,3.08172565E+01,-9.87347455E-03
1.00000000E+01,voltage,Rod_1_n3,3.08172407E+01,-9.89343715E-03
1.00000000E+01,voltage,Rod_1_n4,3.08172292E+01,-9.90877065E-03
1.00000000E+01,voltage,Rod_1_n5,3.08172218E+01,-9.91909018E-03
1.00000000E+01,i1,Rod_1_e1,1.00000000E+00,1.50059308E-20
1.00000000E+01,i2,Rod_1_e1,-8.20135447E-01,-2.17500060E-06
1.00000000E+01,i1,Rod_1_e2,8.20135447E-01,2.17500060E-06
1.00000000E+01,i2,Rod_1_e2,-6.65470409E-01,-1.42113852E-07
1.00000000E+01,i1,Rod_1_e3,6.65470409E-01,1.42113852E-07
1.00000000E+01,i2,Rod_1_e3,-5.10917152E-01,1.00092186E-06
1.00000000E+01,i1,Rod_1_e4,5.10917152E-01,-1.00092186E-06
1.00000000E+01,i2,Rod_1_e4,-3.54530329E-01,1.99233159E-06
1.00000000E+01,i1,Rod_1_e5,3.54530329E-01,-1.99233159E-06
1.00000000E+01,i2,Rod_1_e5,-1.94064962E-01,3.67240660E-06
1.00000000E+01,i1,Rod_1_e6,1.94064962E-01,-3.67240660E-06
1.00000000E+01,i2,Rod_1_e6,0.00000000E+00,0.00000000E+00
1.00000000E+02,voltage,Node_1,3.07959307E+01,-3.06541571E-02
1.00000000E+02,voltage,Node_2,3.07958408E+01,-3.16445429E-02
1.00000000E+02,voltage,Rod_1_n1,3.07959039E+01,-3.09012088E-02
1.00000000E+02,voltage,Rod_1_n2,3.07958820E+01,-3.11391337E-02
1.00000000E+02,voltage,Rod_1_n3,3.07958646E+01,-3.13382807E-02
1.00000000E+02,voltage,Rod_1_n4,3.07958518E+01,-3.14912624E-02
1.00000000E+02,voltage,Rod_1_n5,3.07958437E+01,-3.15942329E-02
1.00000000E+02,i1,Rod_1_e1,1.00000000E+00,-3.00094901E-20
1.00000000E+02,i2,Rod_1_e1,-8.20141041E-01,-3.95683195E-06
1.00000000E+02,i1,Rod_1_e2,8.20141041E-01,3.95683195E-06
1.00000000E+02,i2,Rod_1_e2,-6.65471968E-01,3.65094512E-06
1.00000000E+02,i1,Rod_1_e3,6.65471968E-01,-3.65094512E-06
1.00000000E+02,i2,Rod_1_e3,-5.10916283E-01,7.40411384E-06
1.00000000E+02,i1,Rod_1_e4,5.10916283E-01,-7.40411384E-06
1.00000000E+02,i2,Rod_1_e4,-3.54527099E-01,9.82637023E-06
1.00000000E+02,i1,Rod_1_e5,3.54527099E-01,-9.82637023E-06
1.00000000E+02,i2,Rod_1_e5,-1.94057680E-01,1.37678352E-05
1.00000000E+02,i1,Rod_1_e6,1.94057680E-01,-1.37678352E-05
1.00000000E+02,i2,Rod_1_e6,0.00000000E+00,0.00000000E+00
1.00000000E+03,voltage,Node_1,3.07284290E+01,-9.29597539E-02
1.00000000E+03,voltage,Node_2,3.07282092E+01,-1.02605859E-01
1.00000000E+03,voltage,Rod_1_n1,3.07283639E+01,-9.53535141E-02
1.00000000E+03,voltage,Rod_1_n2,3.07283104E+01,-9.76698877E-02
1.00000000E+03,voltage,Rod_1_n3,3.07282679E+01,-9.96115246E-02
1.00000000E+03,voltage,Rod_1_n4,3.07282364E+01,-1.01104648E-01
