frequency_hz,quantity,id,re,im
1.00000000E+01,voltage,Node_1,2.09409854E+01,-8.86243486E-03
1.00000000E+01,voltage,Node_2,2.09404507E+01,-9.81118281E-03
1.00000000E+01,voltage,Node_3,2.09403118E+01,-9.98451744E-03
1.00000000E+01,voltage,Rod_2_n1,2.09404096E+01,-9.85108090E-03
1.00000000E+01,voltage,Rod_2_n2,2.09403756E+01,-9.89359565E-03
1.00000000E+01,voltage,Rod_2_n3,2.09403486E+01,-9.92968809E-03
1.00000000E+01,voltage,Rod_2_n4,2.09403287E+01,-9.95743119E-03
1.00000000E+01,voltage,Rod_2_n5,2.09403162E+01,-9.97590212E-03
1.00000000E+01,voltage,Rod_1_n1,2.09408963E+01,-9.00456063E-03
1.00000000E+01,voltage,Rod_1_n2,2.09408072E+01,-9.16025033E-03
1.00000000E+01,voltage,Rod_1_n3,2.09407180E+01,-9.32037052E-03
1.00000000E+01,voltage,Rod_1_n4,2.09406289E+01,-9.48288310E-03
1.00000000E+01,voltage,Rod_1_n5,2.09405398E+01,-9.64672923E-03
1.33352143E+01,voltage,Node_1,2.09394493E+01,-1.00431719E-02
1.33352143E+01,voltage,Node_2,2.09389141E+01,-1.13083289E-02
1.33352143E+01,voltage,Node_3,2.09387750E+01,-1.15394700E-02
1.33352143E+01,voltage,Rod_2_n1,2.09388730E+01,-1.13615330E-02
1.33352143E+01,voltage,Rod_2_n2,2.09388389E+01,-1.14182262E-02
1.33352143E+01,voltage,Rod_2_n3,2.09388118E+01,-1.14663553E-02
1.33352143E+01,voltage,Rod_2_n4,2.09387920E+01,-1.15033506E-02
1.33352143E+01,voltage,Rod_2_n5,2.09387794E+01,-1.15279815E-02
1.33352143E+01,voltage,Rod_1_n1,2.09393601E+01,-1.02326966E-02
1.33352143E+01,voltage,Rod_1_n2,2.09392709E+01,-1.04403090E-02
1.33352143E+01,voltage,Rod_1_n3,2.09391817E+01,-1.06538296E-02
1.33352143E+01,voltage,Rod_1_n4,2.09390925E+01,-1.08705405E-02
1.33352143E+01,voltage,Rod_1_n5,2.09390033E+01,-1.10890297E-02
1.77827941E+01,voltage,Node_1,2.09376757E+01,-1.13440337E-02
1.77827941E+01,voltage,Node_2,2.09371397E+01,-1.30311033E-02
1.77827941E+01,voltage,Node_3,2.09370004E+01,-1.33393241E-02
1.77827941E+01,voltage,Rod_2_n1,2.09370985E+01,-1.31020493E-02
1.77827941E+01,voltage,Rod_2_n2,2.09370644E+01,-1.31776482E-02
